date,open,high,low,close,volume,amount
2010-01-04,8.04,8.07,7.9,7.92,33717736.0,462902720.0
2010-01-05,7.95,8.11,7.9,8.07,56788936.0,784796672.0
2010-01-06,8.06,8.09,7.94,7.96,39484800.0,545765829.0
2010-01-07,7.97,8.03,7.85,7.9,61702788.0,846678272.0
2010-01-08,7.84,7.84,7.74,7.81,38862704.0,521325536.0
2010-01-11,8.13,8.2,7.92,7.97,53040220.0,734350016.0
2010-01-12,7.93,8.38,7.9,8.29,132550764.0,1870947518.0
2010-01-13,8.19,8.26,7.98,8.03,110239056.0,1541020928.0
2010-01-14,8.04,8.12,7.94,8.06,57759244.0,798134016.0
2010-01-15,8.07,8.13,7.95,8.0,45357928.0,626618048.0
2010-01-18,7.96,7.98,7.9,7.97,41736268.0,570695744.0
2010-01-19,7.99,8.19,7.98,8.04,58392064.0,813310784.0
2010-01-20,8.06,8.1,7.93,7.94,58250696.0,802812672.0
2010-01-21,7.92,8.01,7.84,7.85,52730792.0,716800448.0
2010-01-22,7.73,7.91,7.71,7.86,47826556.0,640871168.0
2010-01-25,7.78,7.86,7.75,7.78,20194552.0,270972896.0
2010-01-26,7.78,7.81,7.61,7.64,27775616.0,367256416.0
2010-01-27,7.65,7.69,7.6,7.63,22758134.0,299912960.0
2010-01-28,7.65,7.67,7.59,7.62,22578032.0,296520064.0
2010-01-29,7.61,7.65,7.57,7.6,24237964.0,317430368.0
2010-02-01,7.57,7.57,7.38,7.45,29315296.0,375815232.0
2010-02-02,7.49,7.57,7.43,7.45,23155660.0,299371392.0
2010-02-03,7.47,7.59,7.38,7.57,24394348.0,315171520.0
2010-02-04,7.54,7.58,7.49,7.5,21357242.0,276495872.0
2010-02-05,7.4,7.43,7.32,7.38,27075536.0,343514976.0
2010-02-08,7.39,7.49,7.36,7.38,15417603.0,196575824.0
2010-02-09,7.38,7.43,7.36,7.41,11670445.0,148598432.0
2010-02-10,7.44,7.47,7.41,7.46,12043129.0,154139760.0
2010-02-11,7.46,7.51,7.45,7.47,12394212.0,159433568.0
2010-02-12,7.5,7.56,7.44,7.56,20743376.0,268520000.0
2010-02-22,7.58,7.59,7.49,7.5,14906616.0,193506464.0
2010-02-23,7.5,7.53,7.38,7.46,15115171.0,193430432.0
2010-02-24,7.42,7.53,7.38,7.53,17947980.0,229933344.0
2010-02-25,7.52,7.61,7.5,7.58,28302104.0,369010528.0
2010-02-26,7.56,7.58,7.52,7.55,17916428.0,233019920.0
2010-03-01,7.54,7.6,7.53,7.59,19944764.0,259796224.0
2010-03-02,7.59,7.6,7.49,7.52,19354856.0,251159312.0
2010-03-03,7.52,7.57,7.49,7.54,20830010.0,269285568.0
2010-03-04,7.54,7.55,7.41,7.42,23544208.0,303586816.0
2010-03-05,7.43,7.46,7.38,7.43,15714326.0,200832976.0
2010-03-08,7.4,7.48,7.4,7.46,12327399.0,158208928.0
2010-03-09,7.46,7.52,7.4,7.48,16570142.0,212978496.0
2010-03-10,7.47,7.54,7.43,7.46,12640180.0,162865264.0
2010-03-11,7.47,7.56,7.44,7.52,23099646.0,298799648.0
2010-03-12,7.52,7.53,7.43,7.45,13703660.0,176374304.0
2010-03-15,7.43,7.45,7.32,7.35,17544636.0,222244416.0
2010-03-16,7.35,7.38,7.31,7.35,12077469.0,152735360.0
2010-03-17,7.37,7.45,7.35,7.45,16737838.0,213255808.0
2010-03-18,7.45,7.47,7.41,7.43,14375778.0,184173152.0
2010-03-19,7.43,7.47,7.39,7.47,13951449.0,178675504.0
2010-03-22,7.46,7.5,7.44,7.46,15485822.0,199073792.0
2010-03-23,7.47,7.52,7.43,7.44,14266243.0,183573072.0
2010-03-24,7.45,7.5,7.39,7.42,15103125.0,193661600.0
2010-03-25,7.42,7.42,7.34,7.35,14995753.0,190168864.0
2010-03-26,7.35,7.43,7.31,7.42,19479652.0,247054704.0
2010-03-29,7.44,7.58,7.41,7.51,37388520.0,483921664.0
2010-03-30,7.52,7.55,7.48,7.5,14437673.0,186624912.0
2010-03-31,7.5,7.52,7.45,7.46,12810791.0,164859648.0
2010-04-01,7.46,7.51,7.46,7.5,18365084.0,236731120.0
2010-04-02,7.55,7.56,7.49,7.54,22143188.0,286904384.0
2010-04-06,7.59,7.59,7.52,7.54,19886312.0,258645024.0
2010-04-07,7.53,7.54,7.48,7.5,14500713.0,187542912.0
2010-04-08,7.49,7.5,7.39,7.41,21840656.0,279453504.0
2010-04-09,7.41,7.46,7.39,7.44,14294613.0,182949280.0
2010-04-12,7.46,7.48,7.39,7.41,21040084.0,268869984.0
2010-04-13,7.42,7.59,7.42,7.58,55608224.0,720807744.0
2010-04-14,7.6,7.6,7.49,7.53,31523978.0,408692544.0
2010-04-15,7.53,7.7,7.49,7.68,62154768.0,817248384.0
2010-04-16,7.68,7.68,7.55,7.57,30341312.0,397130336.0
2010-04-19,7.53,7.53,7.23,7.25,41264456.0,523756896.0
2010-04-20,7.28,7.33,7.17,7.21,25224784.0,314145152.0
2010-04-21,7.23,7.3,7.18,7.29,26702316.0,332411200.0
2010-04-22,7.27,7.27,7.16,7.17,30897956.0,382660512.0
2010-04-23,7.17,7.2,7.07,7.11,26241918.0,322724352.0
2010-04-26,7.13,7.16,7.07,7.09,18986950.0,232115552.0
2010-04-27,7.07,7.08,6.86,6.92,26716254.0,319972384.0
2010-04-28,6.92,7.0,6.86,6.96,20422880.0,243918720.0
2010-04-29,6.99,7.05,6.94,6.94,16801732.0,201958720.0
2010-04-30,6.95,7.04,6.89,7.03,21449390.0,257621024.0
2010-05-04,6.95,7.02,6.92,6.95,15629580.0,187570064.0
2010-05-05,6.88,6.94,6.77,6.92,27139208.0,319782080.0
2010-05-06,6.88,6.88,6.52,6.57,27845350.0,322168000.0
2010-05-07,6.45,6.48,6.38,6.41,30422808.0,336767616.0
2010-05-10,6.42,6.46,6.34,6.44,21059620.0,232842208.0
2010-05-11,6.54,6.54,6.36,6.38,28101686.0,312696032.0
