date,日期,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2010-01-04,2010-01-04,000011,7.32,7.17,7.32,7.16,36259,38667464.0,2.22,-0.69,-0.05,2.59
2010-01-05,2010-01-05,000011,7.13,6.84,7.24,6.74,68654,71046688.0,6.97,-4.6,-0.33,4.91
2010-01-06,2010-01-06,000011,6.8,6.87,7.05,6.64,61389,63360600.0,5.99,0.44,0.03,4.39
2010-01-07,2010-01-07,000011,6.71,6.63,6.94,6.54,53450,54344572.0,5.82,-3.49,-0.24,3.83
2010-01-08,2010-01-08,000011,6.54,6.73,6.73,6.54,37954,38441996.0,2.87,1.51,0.1,2.72
2010-01-11,2010-01-11,000011,6.78,7.0,7.05,6.57,73829,75789456.0,7.13,4.01,0.27,5.28
2010-01-12,2010-01-12,000011,6.93,7.24,7.37,6.81,95396,101360224.0,8.0,3.43,0.24,6.83
2010-01-13,2010-01-13,000011,7.03,6.68,7.05,6.65,64926,66945988.0,5.52,-7.73,-0.56,4.65
2010-01-14,2010-01-14,000011,6.84,6.81,6.99,6.65,50885,52272616.0,5.09,1.95,0.13,3.64
2010-01-15,2010-01-15,000011,6.83,7.11,7.3,6.83,85853,90770824.0,6.9,4.41,0.3,6.14
2010-01-18,2010-01-18,000011,7.15,7.17,7.27,6.95,65151,68714712.0,4.5,0.84,0.06,4.66
2010-01-19,2010-01-19,000011,7.19,7.07,7.33,7.01,49913,52859828.0,4.46,-1.39,-0.1,3.57
2010-01-20,2010-01-20,000011,7.07,7.22,7.47,7.07,127557,136757664.0,5.66,2.12,0.15,9.13
2010-01-21,2010-01-21,000011,7.46,8.29,8.29,7.43,286894,329750976.0,11.91,14.82,1.07,20.53
2010-01-22,2010-01-22,000011,8.29,7.64,8.29,7.23,228949,256753376.0,12.79,-7.84,-0.65,16.38
2010-01-25,2010-01-25,000011,7.43,6.82,7.62,6.82,97414,103864112.0,10.47,-10.73,-0.82,6.97
2010-01-26,2010-01-26,000011,6.88,6.14,7.01,6.03,81619,80105808.0,14.37,-9.97,-0.68,5.84
2010-01-27,2010-01-27,000011,6.16,6.22,6.41,6.03,47080,45821956.0,6.19,1.3,0.08,3.37
2010-01-28,2010-01-28,000011,6.21,6.19,6.23,5.91,40151,38312668.0,5.14,-0.48,-0.03,2.87
2010-01-29,2010-01-29,000011,6.05,6.26,6.33,5.93,44974,43350068.0,6.46,1.13,0.07,3.22
2010-02-01,2010-02-01,000011,6.25,5.96,6.25,5.71,47284,44145644.0,8.63,-4.79,-0.3,3.38
2010-02-02,2010-02-02,000011,6.01,5.81,6.19,5.78,43374,41102928.0,6.88,-2.52,-0.15,3.1
2010-02-03,2010-02-03,000011,5.77,6.53,6.58,5.45,74938,70332504.0,19.45,12.39,0.72,5.36
2010-02-04,2010-02-04,000011,6.48,6.52,6.78,6.11,111358,111518840.0,10.26,-0.15,-0.01,7.97
2010-02-05,2010-02-05,000011,6.18,5.99,6.32,5.94,51773,49677036.0,5.83,-8.13,-0.53,3.71
2010-02-08,2010-02-08,000011,6.09,6.23,6.29,6.04,28316,27324906.0,4.17,4.01,0.24,2.03
2010-02-09,2010-02-09,000011,6.09,5.9,6.09,5.8,38375,36060212.0,4.65,-5.3,-0.33,2.75
2010-02-10,2010-02-10,000011,5.96,5.95,5.99,5.86,25795,24208578.0,2.2,0.85,0.05,1.85
2010-02-11,2010-02-11,000011,5.97,5.91,6.1,5.9,22839,21592348.0,3.36,-0.67,-0.04,1.63
2010-02-12,2010-02-12,000011,5.93,5.98,6.07,5.88,25186,23748166.0,3.21,1.18,0.07,1.8
2010-02-22,2010-02-22,000011,5.93,6.11,6.13,5.82,40054,37902760.0,5.18,2.17,0.13,2.87
2010-02-23,2010-02-23,000011,6.08,6.18,6.21,5.91,48264,46106472.0,4.91,1.15,0.07,3.45
2010-02-24,2010-02-24,000011,6.13,6.35,6.38,6.03,58117,56542784.0,5.66,2.75,0.17,4.16
2010-02-25,2010-02-25,000011,6.4,6.56,6.72,6.32,77025,76588640.0,6.3,3.31,0.21,5.51
2010-02-26,2010-02-26,000011,6.55,6.52,6.75,6.44,62864,63284584.0,4.73,-0.61,-0.04,4.5
2010-03-01,2010-03-01,000011,6.53,6.78,6.89,6.47,83655,84947192.0,6.44,3.99,0.26,5.99
2010-03-02,2010-03-02,000011,6.78,7.03,7.29,6.53,129627,134619536.0,11.21,3.69,0.25,9.28
2010-03-03,2010-03-03,000011,6.92,7.08,7.22,6.76,107020,112231568.0,6.54,0.71,0.05,7.66
2010-03-04,2010-03-04,000011,7.11,7.32,7.49,7.03,190755,205161184.0,6.5,3.39,0.24,13.65
2010-03-05,2010-03-05,000011,7.32,6.99,7.32,6.91,93173,98416952.0,5.6,-4.51,-0.33,6.67
2010-03-08,2010-03-08,000011,7.13,6.96,7.25,6.94,60924,64149256.0,4.43,-0.43,-0.03,4.36
2010-03-09,2010-03-09,000011,6.94,7.32,7.36,6.68,124882,132730072.0,9.77,5.17,0.36,8.94
2010-03-10,2010-03-10,000011,7.33,7.4,7.63,7.19,122402,133446640.0,6.01,1.09,0.08,8.76
2010-03-11,2010-03-11,000011,7.33,7.84,7.99,7.11,164257,180809328.0,11.89,5.95,0.44,11.75
2010-03-12,2010-03-12,000011,7.74,8.34,8.9,7.61,339318,398604544.0,16.45,6.38,0.5,24.28
2010-03-15,2010-03-15,000011,8.31,8.45,8.82,7.88,213857,254353920.0,11.27,1.32,0.11,15.3
2010-03-16,2010-03-16,000011,8.23,8.35,8.72,8.13,124767,147791552.0,6.98,-1.18,-0.1,8.93
2010-03-17,2010-03-17,000011,8.28,8.63,8.71,7.96,200445,236802416.0,8.98,3.35,0.28,14.34
2010-03-19,2010-03-19,000011,8.52,8.56,9.06,8.46,192151,234990928.0,6.95,-0.81,-0.07,13.75
2010-03-22,2010-03-22,000011,8.53,8.46,8.56,8.09,112421,132670992.0,5.49,-1.17,-0.1,8.05
2010-03-23,2010-03-23,000011,8.39,8.95,9.17,8.18,233411,286808544.0,11.7,5.79,0.49,16.7
2010-03-24,2010-03-24,000011,8.84,8.81,8.93,8.58,122656,149740864.0,3.91,-1.56,-0.14,8.78
2010-03-25,2010-03-25,000011,8.64,8.06,8.73,7.94,127283,149561120.0,8.97,-8.51,-0.75,9.11
2010-03-26,2010-03-26,000011,8.08,8.09,8.28,7.99,67066,77907728.0,3.6,0.37,0.03,4.8
2010-03-29,2010-03-29,000011,8.16,8.37,8.47,8.01,80687,94352072.0,5.69,3.46,0.28,5.77
2010-03-30,2010-03-30,000011,8.28,8.22,8.37,8.19,52901,61950104.0,2.15,-1.79,-0.15,3.79
2010-03-31,2010-03-31,000011,8.19,8.28,8.6,8.19,87308,103789632.0,4.99,0.73,0.06,6.25
2010-04-01,2010-04-01,000011,8.21,8.79,8.88,8.14,114640,138011136.0,8.94,6.16,0.51,8.2
2010-04-02,2010-04-02,000011,8.88,8.85,9.28,8.72,123212,153334608.0,6.37,0.68,0.06,8.82
2010-04-06,2010-04-06,000011,8.78,8.56,8.78,8.46,78034,93885048.0,3.62,-3.28,-0.29,5.58
2010-04-07,2010-04-07,000011,8.48,8.52,8.61,8.05,102213,120381264.0,6.54,-0.47,-0.04,7.31
2010-04-08,2010-04-08,000011,8.43,8.22,8.43,8.19,49179,57768532.0,2.82,-3.52,-0.3,3.52
2010-04-09,2010-04-09,000011,8.25,8.23,8.33,8.12,48083,56144268.0,2.55,0.12,0.01,3.44
2010-04-12,2010-04-12,000011,8.29,7.66,8.33,7.53,113510,127930264.0,9.72,-6.93,-0.57,8.12
2010-04-13,2010-04-13,000011,7.65,7.67,7.8,7.41,72607,80127272.0,5.09,0.13,0.01,5.2
2010-04-14,2010-04-14,000011,7.74,7.69,7.78,7.49,40824,45145972.0,3.78,0.26,0.02,2.92
2010-04-15,2010-04-15,000011,7.63,7.33,7.63,7.3,52398,56923076.0,4.29,-4.68,-0.36,3.75
2010-04-16,2010-04-16,000011,7.29,7.0,7.29,6.82,52218,54600736.0,6.41,-4.5,-0.33,3.74
2010-04-19,2010-04-19,000011,6.86,5.97,6.86,5.95,79500,77737976.0,13.0,-14.71,-1.03,5.69
2010-04-20,2010-04-20,000011,5.74,5.61,5.98,5.45,49920,45398380.0,8.88,-6.03,-0.36,3.57
2010-04-21,2010-04-21,000011,5.62,5.84,5.9,5.59,49041,45159268.0,5.53,4.1,0.23,3.51
2010-04-22,2010-04-22,000011,5.74,5.54,5.74,5.51,56083,50896996.0,3.94,-5.14,-0.3,4.01
2010-04-23,2010-04-23,000011,5.57,5.75,5.76,5.53,48374,44160772.0,4.15,3.79,0.21,3.46
2010-04-26,2010-04-26,000011,5.6,5.41,5.71,5.39,46603,41950324.0,5.57,-5.91,-0.34,3.34
2010-04-27,2010-04-27,000011,5.41,4.91,5.41,4.73,58590,49366576.0,12.57,-9.24,-0.5,4.19
2010-04-28,2010-04-28,000011,4.77,4.93,5.06,4.63,35175,29452926.0,8.76,0.41,0.02,2.52
2010-04-29,2010-04-29,000011,5.01,4.75,5.1,4.75,36806,30878808.0,7.1,-3.65,-0.18,2.63
2010-04-30,2010-04-30,000011,4.68,4.81,4.88,4.61,27036,22256024.0,5.68,1.26,0.06,1.93
2010-05-04,2010-05-04,000011,4.63,4.22,4.8,4.22,41421,32973118.0,12.06,-12.27,-0.59,2.96
2010-05-05,2010-05-05,000011,4.13,4.54,4.68,3.79,74718,57069060.0,21.09,7.58,0.32,5.35
2010-05-06,2010-05-06,000011,4.31,3.91,4.42,3.91,50734,38871248.0,11.23,-13.88,-0.63,3.63
2010-05-07,2010-05-07,000011,3.73,3.86,4.03,3.54,34230,25050612.0,12.53,-1.28,-0.05,2.45
2010-05-10,2010-05-10,000011,3.79,4.05,4.17,3.79,44636,33375192.0,9.84,4.92,0.19,3.19
2010-05-11,2010-05-11,000011,4.15,3.9,4.3,3.78,41638,31499324.0,12.84,-3.7,-0.15,2.98
2010-05-12,2010-05-12,000011,3.74,3.96,4.14,3.54,77236,57560848.0,15.38,1.54,0.06,5.53
2010-05-13,2010-05-13,000011,4.03,4.29,4.29,3.73,95137,72058656.0,14.14,8.33,0.33,6.81
2010-05-14,2010-05-14,000011,4.15,4.09,4.26,3.99,57855,43968592.0,6.29,-4.66,-0.2,4.14
2010-05-17,2010-05-17,000011,3.9,3.33,3.9,3.33,57581,40894936.0,13.94,-18.58,-0.76,4.12
2010-05-18,2010-05-18,000011,3.22,3.59,3.78,3.01,64349,43976708.0,23.12,7.81,0.26,4.6
2010-05-19,2010-05-19,000011,3.42,3.71,3.75,3.3,66564,46949360.0,12.53,3.34,0.12,4.76
2010-05-20,2010-05-20,000011,3.7,3.38,3.7,3.35,39294,27480188.0,9.43,-8.89,-0.33,2.81
2010-05-21,2010-05-21,000011,3.11,3.65,3.65,2.99,61433,42759248.0,19.53,7.99,0.27,4.4
2010-05-24,2010-05-24,000011,3.73,3.97,4.12,3.73,84556,62692008.0,10.68,8.77,0.32,6.05
2010-05-25,2010-05-25,000011,3.83,3.77,3.88,3.69,48111,34947624.0,4.79,-5.04,-0.2,3.44
2010-05-26,2010-05-26,000011,3.77,3.81,3.85,3.69,26404,19123294.0,4.24,1.06,0.04,1.89
2010-05-27,2010-05-27,000011,3.72,3.82,3.88,3.55,45198,32588810.0,8.66,0.26,0.01,3.23
