date,open,high,low,close,volume,amount
2019-01-02,18.14,18.25,17.59,17.74,6405140.0,127969762.0
2019-01-03,17.73,18.08,17.72,17.93,4615331.0,92670930.0
2019-01-04,17.77,18.36,17.65,18.22,7616571.0,155085458.0
2019-01-07,18.31,18.34,17.86,17.99,10220504.0,207967607.0
2019-01-08,18.0,18.08,17.7,17.78,7991502.0,160148530.0
2019-01-09,17.96,18.27,17.88,18.08,9609731.0,195709419.0
2019-01-10,17.97,18.12,17.79,18.05,6042830.0,122296881.0
2019-01-11,18.04,18.36,18.02,18.19,6613380.0,135345410.0
2019-01-14,17.98,18.18,17.88,17.94,6523505.0,131769661.0
2019-01-15,18.04,18.24,17.92,18.2,5577333.0,113624137.0
2019-01-16,18.13,18.56,18.09,18.52,9244208.0,191026891.0
2019-01-17,18.63,19.13,18.63,18.75,16268009.0,345532373.0
2019-01-18,18.94,19.16,18.76,19.13,10901105.0,233518588.0
2019-01-21,19.04,19.8,19.02,19.8,17423311.0,384186195.0
2019-01-22,19.81,19.81,19.4,19.48,7160588.0,157531912.0
2019-01-23,19.38,19.73,19.32,19.48,5083569.0,111431711.0
2019-01-24,19.65,19.65,19.25,19.43,4731661.0,103468622.0
2019-01-25,19.6,20.08,19.57,19.83,10451315.0,233068776.0
2019-01-28,19.91,20.13,19.59,19.81,5384303.0,120391639.0
2019-01-29,19.64,20.12,19.59,19.98,7393981.0,165300426.0
2019-01-30,19.12,19.84,19.12,19.62,16367859.0,360057636.0
2019-01-31,19.62,20.53,19.4,20.24,16392734.0,371691740.0
2019-02-01,20.45,20.57,20.1,20.34,9042996.0,206245324.0
2019-02-11,20.08,20.41,19.85,20.32,9219390.0,208656958.0
2019-02-12,20.32,20.37,20.02,20.19,8036038.0,181803839.0
2019-02-13,20.14,20.93,20.05,20.71,15618631.0,358726500.0
2019-02-14,20.6,20.69,20.5,20.58,7134010.0,165142273.0
2019-02-15,20.51,20.63,19.95,19.97,8805303.0,199716894.0
2019-02-18,20.1,20.99,20.1,20.85,13332591.0,307958078.0
2019-02-19,20.85,22.13,20.82,21.52,24890149.0,604724662.0
2019-02-20,21.67,22.41,21.49,22.39,20611178.0,512799585.0
2019-02-21,22.3,22.6,21.7,21.74,16541491.0,411476084.0
2019-02-22,22.09,23.22,21.5,23.09,27511207.0,688644137.0
2019-02-25,24.01,25.4,23.97,25.4,53687804.0,1509784947.0
2019-02-26,26.42,26.55,25.17,25.39,45881960.0,1338445155.0
2019-02-27,25.05,26.68,25.04,26.06,34254374.0,1000060924.0
2019-02-28,25.79,25.85,25.07,25.24,15017327.0,428796500.0
2019-03-01,25.11,27.66,25.11,27.66,30886762.0,911324447.0
2019-03-04,27.66,29.35,26.97,27.59,49801476.0,1563225374.0
2019-03-05,27.33,27.44,26.64,27.31,26138201.0,794216773.0
2019-03-06,26.95,28.01,26.68,28.0,26634070.0,814293890.0
2019-03-07,27.66,27.66,26.64,26.99,28825356.0,877943347.0
2019-03-08,25.49,26.13,24.8,25.04,33792035.0,964942544.0
2019-03-11,24.97,25.79,24.67,25.61,25054494.0,711490882.0
2019-03-12,25.68,26.24,25.17,25.43,19009298.0,551190174.0
2019-03-13,25.51,25.92,25.01,25.56,17984824.0,514989213.0
2019-03-14,25.57,25.85,25.04,25.24,16802433.0,482128385.0
2019-03-15,25.25,26.31,25.25,25.57,18439111.0,536108417.0
2019-03-18,25.66,26.64,25.25,26.32,20910506.0,611753869.0
2019-03-19,26.43,27.01,26.15,26.3,18555028.0,556057899.0
2019-03-20,26.04,26.57,25.67,26.16,15586118.0,456954812.0
2019-03-21,26.15,26.63,25.83,26.15,17120649.0,505806440.0
2019-03-22,26.15,26.15,25.35,25.69,13260813.0,383046705.0
2019-03-25,25.21,25.21,24.24,24.3,24799987.0,688637116.0
2019-03-26,24.55,24.59,23.83,23.92,14108938.0,384497854.0
2019-03-27,24.2,24.36,23.9,24.0,9086574.0,246421066.0
2019-03-28,23.76,23.79,23.26,23.46,16663801.0,440623458.0
2019-03-29,23.61,25.19,23.51,25.19,25958803.0,717613806.0
2019-04-01,25.34,26.32,25.34,25.63,27800104.0,806555416.0
2019-04-02,25.72,26.07,25.38,25.7,17790978.0,514976286.0
2019-04-03,25.39,25.75,25.15,25.7,19458912.0,556997287.0
2019-04-04,26.04,26.72,25.81,26.1,24096895.0,712700237.0
2019-04-08,26.16,27.12,26.07,26.79,30716583.0,919198731.0
2019-04-09,26.52,26.79,25.79,26.11,14184836.0,418511904.0
2019-04-10,25.79,26.22,25.35,25.85,12981322.0,374600414.0
2019-04-11,25.78,26.22,25.35,25.48,11054435.0,319202970.0
2019-04-12,25.55,25.88,25.26,25.43,7455885.0,213770424.0
2019-04-15,25.97,26.77,25.72,25.75,24897144.0,739179955.0
2019-04-16,25.71,26.86,25.67,26.77,21294936.0,632977692.0
2019-04-17,26.68,27.13,26.32,26.54,18991898.0,570034943.0
2019-04-18,26.43,26.83,26.15,26.76,10982628.0,327475674.0
2019-04-19,27.57,28.15,27.24,27.91,31186274.0,970760380.0
2019-04-22,28.01,28.01,26.5,26.57,26261682.0,803003802.0
2019-04-23,26.4,27.18,26.28,26.8,14804321.0,444619162.0
2019-04-24,26.91,26.95,25.95,26.41,12797058.0,380901983.0
2019-04-25,26.19,26.76,26.11,26.23,13142848.0,389838409.0
2019-04-26,26.25,27.39,26.16,26.75,24374512.0,735374123.0
2019-04-29,27.0,27.82,26.7,27.56,27241440.0,837215014.0
2019-04-30,27.28,27.48,26.48,26.95,18961876.0,573089038.0
2019-05-06,25.79,25.96,24.25,24.53,30502684.0,852156079.0
2019-05-07,24.85,25.04,24.19,24.61,18270839.0,505330795.0
2019-05-08,23.87,24.43,23.6,24.01,13346651.0,359825902.0
2019-05-09,23.78,23.97,23.0,23.12,16243555.0,426052318.0
